bikes_allowed,block_id,direction_id,headsign,name,wheelchair_accessible
1,C57-149,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-146,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
1,C57-140,0,Watertown Yard,,1
1,C57-149,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-146,0,Watertown Yard,,1
1,C57-149,0,Watertown Yard,,1
1,C57-146,1,Kenmore,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-141,1,Kenmore,,1
1,C57-141,1,Kenmore,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-141,1,Kenmore,,1
1,C57-141,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-147,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-146,0,Watertown Yard,,1
1,C57-149,1,Kenmore,,1
1,C57-147,0,Watertown Yard,,1
1,C57-141,1,Kenmore,,1
1,C57-149,0,Watertown Yard,,1
1,C57-146,1,Kenmore,,1
1,C57-141,0,Watertown Yard,,1
1,C57-146,0,Watertown Yard,,1
1,C57-149,1,Kenmore,,1
1,C57-149,0,Watertown Yard,,1
1,C57-150,1,Kenmore,,1
1,C57-150,0,Watertown Yard,,1
1,C57-150,1,Kenmore,,1
1,C57-149,0,Watertown Yard,,1
1,C57-140,1,Kenmore,,1
1,C01-4,1,Kenmore,,1
1,C01-4,0,Watertown Yard,,1
1,C01-4,1,Kenmore,,1
1,C01-4,0,Watertown Yard,,1
1,C01-4,1,Kenmore,,1
1,C57-105,0,Watertown Yard,,1
1,C57-105,1,Kenmore,,1
1,C57-105,1,Kenmore,,1
1,C57-105,0,Watertown Yard,,1
1,C57-105,1,Kenmore,,1
1,C01-4,0,Watertown Yard,,1
1,C57-105,0,Watertown Yard,,1
1,C01-4,1,Kenmore,,1
1,C57-105,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-105,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-105,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-105,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-105,1,Kenmore,,1
1,C57-110,0,Watertown Yard,,1
1,C57-110,0,Watertown Yard,,1
1,C57-110,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-110,0,Watertown Yard,,1
1,C57-110,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-105,0,Watertown Yard,,1
1,C57-110,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-105,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-105,0,Watertown Yard,,1
1,C57-110,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-105,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-105,0,Watertown Yard,,1
1,C57-110,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-112,0,Watertown Yard,,1
1,C57-112,1,Kenmore,,1
1,C57-112,0,Watertown Yard,,1
1,C57-112,0,Watertown Yard,,1
1,C57-112,1,Kenmore,,1
1,C57-112,1,Kenmore,,1
1,C57-105,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-112,1,Kenmore,,1
1,C57-105,0,Watertown Yard,,1
1,C57-110,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-112,0,Watertown Yard,,1
1,C57-105,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-112,1,Kenmore,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-106,1,Kenmore,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-106,1,Kenmore,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-106,1,Kenmore,,1
1,C57-106,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-105,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-110,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-112,0,Watertown Yard,,1
1,C57-105,1,Kenmore,,1
1,C57-106,0,Watertown Yard,,1
1,C57-110,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-112,1,Kenmore,,1
1,C57-113,0,Watertown Yard,,1
1,C57-106,1,Kenmore,,1
1,C57-110,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-112,0,Watertown Yard,,1
1,C57-113,1,Kenmore,,1
1,C57-108,0,Watertown Yard,,1
1,C57-110,1,Kenmore,,1
1,C57-111,0,Watertown Yard,,1
1,C57-112,1,Kenmore,,1
1,C57-113,0,Watertown Yard,,1
1,C57-108,1,Kenmore,,1
1,C57-110,0,Watertown Yard,,1
1,C57-112,0,Watertown Yard,,1
1,C57-111,1,Kenmore,,1
1,C57-108,0,Watertown Yard,,1
1,C57-113,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-114,0,Watertown Yard,,1
1,C57-113,0,Watertown Yard,,1
1,C57-108,1,Kenmore,,1
1,C57-110,0,Watertown Yard,,1
1,C57-114,1,Kenmore,,1
1,C57-108,0,Watertown Yard,,1
1,C57-113,1,Kenmore,,1
1,C57-110,1,Kenmore,,1
1,C57-114,0,Watertown Yard,,1
1,C57-108,1,Kenmore,,1
1,C57-115,0,Watertown Yard,,1
1,C57-107,0,Watertown Yard,,1
1,C57-114,1,Kenmore,,1
1,C57-108,0,Watertown Yard,,1
1,C57-115,1,Kenmore,,1
1,C57-114,0,Watertown Yard,,1
1,C57-107,1,Kenmore,,1
1,C57-115,0,Watertown Yard,,1
1,C57-114,1,Kenmore,,1
1,C57-107,0,Watertown Yard,,1
1,C57-115,1,Kenmore,,1
1,C57-114,0,Watertown Yard,,1
1,C57-107,1,Kenmore,,1
1,C57-115,0,Watertown Yard,,1
1,C57-114,1,Kenmore,,1
1,C57-107,0,Watertown Yard,,1
1,C57-114,0,Watertown Yard,,1
1,C57-109,0,Watertown Yard,,1
1,C57-109,1,Kenmore,,1
1,C57-109,0,Watertown Yard,,1
